Ep_No,Brand,Male,Female,Location,Idea,Sector,Deal,Amount_Invested_lakhs,Amout_Asked,Debt_Invested,Debt_Asked,Equity_Taken_in_Prec,Equity_Asked_in_Prec,Avg_age,Team_members,Ashneer_Amount_Invested,Ashneer_Equity_Taken_in_Prec,Namita_Amount_Invested,Namita_Equity_Taken_in_Prec,Anupam_Amount_Invested,Anupam_Equity_Taken_in_Prec,Vineeta_Amount_Invested,Vineeta_Equity_Taken_in_Prec,Aman_Amount_Invested,Aman_Equity_Taken_in_Prec,Peyush_Amount_Invested,Peyush_Equity_Taken_in_Prec,Ghazal_Amount_Invested,Ghazal_Equity_Taken_in_Prec,Total_investors,Partners,Unwanted
21,Sid 07 Designs,1,0,Jammu,Inventions,Technology,25 Lakhs for 75 perct equity and 22 lakhs Debt,25,47,22,0,75,10,25 to 30,1,0,0,0,0,0,0,0,0,0,0,47,75,0,0,1,Pey,0
21,The Quirky Nari,0,1,Mathura,Customised Apparels,Lifestyle,35 lakhs for 24 perct equity,35,35,0,0,24,5,25 to 30,1,0,0,0,0,17.5,12,17.5,12,0,0,0,0,0,0,2,Anu Vin,0
22,Hair Originals,3,0,Gurgaon,Natural Hair Extensions,Lifestyle,60 Lakhs for 4 perct equity,60,60,0,0,4,2,40 to 45,3,20,1.3,0,0,20,1.3,0,0,0,0,20,1.3,0,0,3,Anu Ash Pey,0
22,Poo de Cologne,0,1,Mumbai,Toilet Spray with Essential Oils,Lifestyle,No Deal,0,75,0,0,0,5,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Moonshine Meads,2,0,Pune,Meads,Food,No Deal,0,80,0,0,0,0.5,40 to 45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Falhari,3,0,Gurgaon,Fresh Fruits,Food,No Deal,0,50,0,0,0,2,25 to 30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Namhya Foods,0,1,Jammu,Ayurvedic Enriched Food,Food,50 lakhs for 10 perct Equity amd 50 lakhs Debt,50,100,50,0,10,5,25 to 30,1,0,0,0,0,0,0,0,0,100,10,0,0,0,0,1,Ama,0
23,Urban Monkey,1,0,Mumbai,Streetwear,Lifestyle,No Deal,0,100,0,0,0,1,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Guardian Gears,1,1,Secundarabad,Motorcycle Luggage,Automobile,No Deal,0,30,0,0,0,5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Modern Myth,1,1,Delhi,Bags,Lifestyle,No Deal,0,75,0,0,0,5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,The Sass Bar,0,1,Mumbai,Gifts,Lifestyle,50 lakhs for 35 perct Equity,50,40,0,0,35,8,30 to 35,1,0,0,0,0,25,17.5,0,0,0,0,0,0,25,17.5,2,Anu Gha,0
24,KG Agrotech,2,0,Malegaon,Agricultural Innovations,Technology,10 lakhs for 40 perct Equity and 20 lakhs Debt,10,30,20,0,40,10,25 to 30,2,0,0,0,0,0,0,0,0,0,0,30,40,0,0,1,Pey,0
24,Nuskha Kitchen,1,1,Jaipur,Homemade Foods,Food,No Deal,0,20,0,0,0,10,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,PawsIndia,1,1,Bombay,Dog Products,Food,50 lakhs for 15 perct Equity,50,50,0,0,15,4,25 to 30,2,0,0,0,0,50,15,0,0,0,0,0,0,0,0,1,Anu,0
25,Sunfox Technologies,4,0,Dehradun,Portable ECG Device,Health,1 crore for 6 perct Equity,100,100,0,0,6,2,30 to 35,4,0,0,20,1.2,20,1.2,20,1.2,0,0,20,1.2,20,1.2,5,Anu Gha Nam Pey Vin,1
25,Alpino,4,0,Surat,Roasted Peanut Products,Food,No Deal,0,150,0,0,0,2,25 to 30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Isak Fragrances,0,1,Lucknow,Perfumes,Lifestyle,50 lakhs for 50 perct Equity,50,50,0,0,50,8,30 to 35,1,0,0,0,0,0,0,0,0,0,0,50,50,0,0,1,Pey,0
26,Julaa Automation,3,0,Gujarat,Automatic Cradle,Technology,No Deal,0,50,0,0,0,10,30 to 35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Rare Planet,2,0,Kolkata,Handicrafts,Lifestyle,65 lakhs for 3 perct Equity,65,65,0,0,3,1,30 to 35,2,0,0,65,3,0,0,0,0,0,0,0,0,0,0,1,Nam,0
27,Theka Coffee,1,0,Gujarat,Coffee Products,food,No Deal,0,50,0,0,0,10,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Watt Technovations,0,0,0,Ventilated PPE Kits,0,101 for 4 perct Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ama Anu Nam Pey,0
